ID,Name,Age,Email,Join Date,Salary,Department
1e407ff9-6255-489d-a0de-34135d4f74bd,Hunter Thomas,25.0,xlopez@hotmail.com,1970-01-01,88552.0,Sales
379f55b8-87d5-4739-a146-7400b78c24d1,Jeremy Irwin,90.0,no_email@example.com,2022-07-07,139227.0,
18261368-dfa1-47f0-afc6-bddf45926b07,Jennifer Hammondquickly,66.0,no_email@example.com,1970-01-01,65550.0,Engineering
ae7cf7cf-17cf-4c8b-9c44-4f61a9a238e5,Sydney Taylorso,39.0,no_email@example.com,2021-05-11,139932.0,Support
14ed3e6a-e0f5-4bbe-8d93-8665267f5c90,Julia Lee,71.0,figueroakayla@yahoo.com,1970-01-01,143456.0,Marketing
f92ea13f-24d3-4792-91e4-5b0e07d90c2c,Lisa Bailey,81.0,milleryvonne@fowler-york.com,1970-01-01,123018.0,Support
c4892dbb-2554-4ce1-8f11-f6597d7f6782,Patricia Brown DVM,66.0,no_email@example.com,1970-01-01,77311.0,HR
465e625b-f924-4061-8356-c7e3130f7118,Derek Murphy,38.0,no_email@example.com,2021-12-01,,Support
12cc2f16-d641-402e-b22b-3332bafc4f1d,,71.0,andrew74@hotmail.com,2022-12-02,83354.0,Sales
d06f507d-62e5-4bd6-a252-4e60e109d324,Jay Fisher,44.0,denisemaynard@jordan.com,2022-08-12,37701.72599250199,HR
d5fe9321-49cf-4f14-ac96-7aea1204247b,Craig Conway,88.0,gerald47@woodard-smith.com,1970-01-01,81214.52597186244,Engineering
21763907-db1a-400a-8464-e3af593c3abc,Raymond Wilson,44.0,no_email@example.com,1970-01-01,128335.0,HRC
da63d159-e9b0-4b92-b0fe-4e87df3aebc1,Amber Marsh,23.0,robert43@gmail.com,2023-08-09,112970.0,Engineering
5ca27087-5c90-4d42-94d0-7e9ee3f422b9,Patrick Mooney,57.0,bowersjasmine@hotmail.com,1970-01-01,41511.139645951946,SalesA
9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,60.0,griffinlinda@harrison.com,1970-01-01,51625.81440265695,Marketing
0074dbd5-10d0-463f-9b10-d8473bea04ba,,22.0,ericjohnson@castillo-mendez.net,2023-01-03,,HR
241e20d7-cc36-495e-86c2-2928bbaa93d8,Mark Wilkins,,longjennifer@parker.biz,1970-01-01,85794.0,SalesX
eab72304-0aff-45f8-ab0d-6af25b1620bc,,30.0,no_email@example.com,1970-01-01,,Engineering
05e36d3f-6422-4329-80b2-1fd3543ee254,,,no_email@example.com,1970-01-01,,
a8b6e8e3-f2f2-42c6-b2d7-2bbfd9b91125,,,no_email@example.com,1970-01-01,,
2205ccce-1a22-44cb-9107-01990df7f935,Eric Cole,,no_email@example.com,1970-01-01,60013.0,Supportu
7aa89cdd-e328-4425-9556-b0b3da9e4f2a,Danny Martinred,64.0,amyclements@lee.biz,1970-01-01,,HR
88e92fab-a06c-4c53-a59a-699bf8a583b5,Curtis Parkerlot,36.0,daniellewilliams@gmail.com,2023-08-12,,HR
13b6428a-ba54-4531-87a1-72c3c3ccf765,Laura Davis,60.0,garciaralph@hayes-hernandez.biz,1970-01-01,61209.0,Engineeringi
3f741e1f-f781-463e-a12a-871d3866c711,,,no_email@example.com,1970-01-01,,
58d4c7cd-aa32-4429-a96e-e881c676852c,Sharon Mcclure,25.0,mcmahonchristina@hotmail.com,2024-09-06,89208.0,Marketing
ea358a83-5e3b-41dd-b00b-9cbb2bb85b45,Lori Hernandez,83.0,elizabeth22@yahoo.com,1970-01-01,52075.0,Engineering
2f99edc1-c0e7-4963-8b33-09465a2ac68f,Christina Norriscompare,84.0,haleygary@yahoo.com,1970-01-01,92668.0,Engineering
99cc4d76-0d87-45ee-9de7-384e54c5ffb9,Amber Garcia,59.0,no_email@example.com,2020-07-02,,Engineering
31f74cb1-8ed7-464a-9014-5b833cf9e5db,Trevor Smith,30.0,robertflowers@diaz.biz,1970-01-01,133390.0,MarketingR
754d31ea-7749-4d29-b0f1-a8fb908d541c,,,no_email@example.com,1970-01-01,,
5baa38a4-b8e6-4418-9d94-3a43be18a74e,Mark Smith,64.0,no_email@example.com,1970-01-01,,SalesX
e5381075-e75b-4b1d-b571-e52dab20dfae,John Weeks,87.0,no_email@example.com,1970-01-01,36554.0,Marketing
99ad138f-12af-4f08-a892-cf94f84f6feb,Jamie Valdez,73.0,no_email@example.com,1970-01-01,,Sales
ace748f5-03e6-4187-8a02-c81906eb9667,,18.0,jeremyarmstrong@hotmail.com,1970-01-01,35900.0,Engineering
6f5313d3-eeb9-4acb-bd8a-47797d747c5a,Ryan DanielsTV,35.0,hward@yahoo.com,1970-01-01,108317.0,Salesw
